ID Value,ID Type,Marketplace ID,Is FBA?,Currency Code,Listing Price,Shipping Price
B01M16K56E,ASIN,ATVPDKIKX0DER,FALSE,USD,39.24,0
B01N4AZUJY,ASIN,ATVPDKIKX0DER,FALSE,USD,99.94,0
B01N1PE51Z,ASIN,ATVPDKIKX0DER,FALSE,USD,99.94,0
B01NCJ6ID6,ASIN,ATVPDKIKX0DER,FALSE,USD,99.94,0
B079VNSRSD,ASIN,ATVPDKIKX0DER,FALSE,USD,99.94,0
B085D9HDB1,ASIN,ATVPDKIKX0DER,FALSE,USD,99.94,0
B07YDZH6YR,ASIN,ATVPDKIKX0DER,FALSE,USD,89.94,0
B07YCTWPQ1,ASIN,ATVPDKIKX0DER,FALSE,USD,89.95,0
B07YCPBVFC,ASIN,ATVPDKIKX0DER,FALSE,USD,89,0
B07YCTG53Y,ASIN,ATVPDKIKX0DER,FALSE,USD,89.95,0
B07YCVLS21,ASIN,ATVPDKIKX0DER,FALSE,USD,89.95,0
B09X1ZCXLG,ASIN,ATVPDKIKX0DER,FALSE,USD,99.94,0
B09X28BRFC,ASIN,ATVPDKIKX0DER,FALSE,USD,99.94,0
B09X29FMXS,ASIN,ATVPDKIKX0DER,FALSE,USD,99.94,0
B09X27VSRH,ASIN,ATVPDKIKX0DER,FALSE,USD,109,0
B09X29DCS4,ASIN,ATVPDKIKX0DER,FALSE,USD,109.95,0
B0BLZNWGNT,ASIN,ATVPDKIKX0DER,FALSE,USD,99.94,0
B0BLZMR78N,ASIN,ATVPDKIKX0DER,FALSE,USD,99.94,0
B09X2CJZJQ,ASIN,ATVPDKIKX0DER,FALSE,USD,99.94,0
B09X29S7LS,ASIN,ATVPDKIKX0DER,FALSE,USD,99.94,0
B09X2B3TCK,ASIN,ATVPDKIKX0DER,FALSE,USD,99.94,0
B013VO8MTC,ASIN,ATVPDKIKX0DER,TRUE,USD,149.99,0
B013VO8SRS,ASIN,ATVPDKIKX0DER,TRUE,USD,149.99,0
