"ID Value","ID Type","Is FBA?","Listing Price","Listing Price Currency Code","Shipping Price","Shipping Price Currency Code","Total Fees","Total Fees Currency Code"
B0B25TW9LC,ASIN,,94.99,USD,0,USD,14.25,USD
B0B25TW9LC,ASIN,1,94.99,USD,0,USD,21.11,USD
B0B324KKRR,ASIN,,94.99,USD,0,USD,14.25,USD
B0B324KKRR,ASIN,1,94.99,USD,0,USD,21.58,USD
B0B25RLDDV,ASIN,,79.99,USD,0,USD,12,USD
B0B25RLDDV,ASIN,1,79.99,USD,0,USD,17.89,USD
B0B32Z7BGH,ASIN,,49.99,USD,0,USD,7.5,USD
B0B32Z7BGH,ASIN,1,49.99,USD,0,USD,13.6,USD
B0B326WJ83,ASIN,,34.99,USD,0,USD,5.25,USD
B0B326WJ83,ASIN,1,34.99,USD,0,USD,10,USD
B0B327TDB2,ASIN,,34.99,USD,0,USD,5.25,USD
B0B327TDB2,ASIN,1,34.99,USD,0,USD,9.5,USD
B09PQHPBM3,ASIN,,49.65,USD,0,USD,5.96,USD
B0BYRB9HMK,ASIN,,3299,USD,124.99,USD,513.6,USD
B07XD33VKK,ASIN,,127,USD,0,USD,19.05,USD
B07XF5J5QR,ASIN,,127,USD,0,USD,19.05,USD
B07XB1ZJC1,ASIN,,127,USD,0,USD,19.05,USD
B07XC1ZTNY,ASIN,,127.94,USD,0,USD,19.19,USD
B082MR2533,ASIN,,127.94,USD,0,USD,19.19,USD
B07XF4Z8DP,ASIN,,127,USD,0,USD,19.05,USD
B082MQWRJ9,ASIN,,127.94,USD,0,USD,19.19,USD
B07XB1C2ZK,ASIN,,127,USD,0,USD,19.05,USD
B07XB1XZV7,ASIN,,127.94,USD,0,USD,19.19,USD
B082MR3KP9,ASIN,,94,USD,0,USD,14.1,USD
B07M962LWS,ASIN,,169,USD,0,USD,25.35,USD
B07M5HTH5N,ASIN,,169.94,USD,0,USD,25.49,USD
B07M5HTGJV,ASIN,,169.94,USD,0,USD,25.49,USD
B00063RH0C,ASIN,,64,USD,0,USD,9.6,USD
B00030A1N8,ASIN,,64.94,USD,0,USD,9.74,USD
B00030A1NI,ASIN,,64.99,USD,0,USD,9.75,USD
B003OJQM9M,ASIN,,64,USD,0,USD,9.6,USD
B003F0YK9O,ASIN,,69.9,USD,0,USD,10.49,USD
B003F0SU72,ASIN,,69.94,USD,0,USD,10.49,USD
B079V1J9J8,ASIN,,89.94,USD,0,USD,13.49,USD
B079VV4MYL,ASIN,,104.95,USD,0,USD,15.74,USD
B079VS71YD,ASIN,,104.95,USD,0,USD,15.74,USD
B079V3BP91,ASIN,,65.95,USD,0,USD,9.89,USD
B079V6M5SY,ASIN,,55.95,USD,0,USD,8.39,USD
B001NZK2KO,ASIN,,69.94,USD,0,USD,10.49,USD
B003F0UZ7A,ASIN,,64,USD,0,USD,9.6,USD
B01M16K56E,ASIN,,39.24,USD,0,USD,5.89,USD
B01N4AZUJY,ASIN,,99.94,USD,0,USD,14.99,USD
B01N1PE51Z,ASIN,,99.94,USD,0,USD,14.99,USD
B01NCJ6ID6,ASIN,,99.94,USD,0,USD,14.99,USD
B079VNSRSD,ASIN,,99.94,USD,0,USD,14.99,USD
B085D9HDB1,ASIN,,99.94,USD,0,USD,14.99,USD
B07YDZH6YR,ASIN,,89.94,USD,0,USD,13.49,USD
B07YCTWPQ1,ASIN,,89.95,USD,0,USD,13.49,USD
B07YCPBVFC,ASIN,,89,USD,0,USD,13.35,USD
B07YCTG53Y,ASIN,,89.95,USD,0,USD,13.49,USD
B07YCVLS21,ASIN,,89.95,USD,0,USD,13.49,USD
B09X1ZCXLG,ASIN,,99.94,USD,0,USD,14.99,USD
B09X28BRFC,ASIN,,99.94,USD,0,USD,14.99,USD
