(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0B8MC1NC9,B0B8LVS764,Daiwa SALTIST LW CVNL Reel 4 (4 CRBB) + 1 6.1 : 1,STTLW20HB,906,17,0.30%,0.31%,"1,351",21,0.33%,0.27%,16.22%,42.86%,3,0,0.33%,0.00%,$597.00,$0.00,3,0
B0B9HT6KGX,B0B9HT6KGX,"Old Town Lure Angler II Men's Life Jacket 2022 (Moss, S/M)",01.1332.9057-stickerless,72,0,0.02%,0.00%,108,0,0.03%,0.00%,99.07%,0.00%,3,0,4.17%,0.00%,$539.97,$0.00,3,0
B0CDQN37WK,B0BG3B6JG7,Van Staal VS X2 Bailess Spinning Reel VS201SX2 Silver Lefty,VS201SX2,312,16,0.10%,0.29%,414,19,0.10%,0.25%,37.28%,22.22%,3,0,0.96%,0.00%,"$2,579.83",$0.00,3,0
B0BYRB9HMK,B0BYRB9HMK,Hobie Mirage Lynx Sit-On-Top Kayak-Dune,27100035,"1,030",26,0.35%,0.47%,"1,267",32,0.31%,0.41%,97.71%,96.88%,3,0,0.29%,0.00%,"$9,897.00",$0.00,3,0
B0CC6CPXQM,B0CC6D5WVH,STRADIC 2500HG FM,ST2500HGFM,670,14,0.22%,0.25%,811,21,0.20%,0.27%,8.31%,0.00%,3,0,0.45%,0.00%,$659.97,$0.00,3,0
B0CKY2PBV2,B0CDJVKGMX,"Nomad Design Squidtrex Fishing Lure with Patent Pending Technology Vibration Design - TPE Soft Plastic, BKK Assist Hooks, Squid Lure- 130 Vibe 5"" - 3 1/4oz, White Glow",SQDTREX130-WTG,358,9,0.12%,0.16%,431,11,0.10%,0.14%,9.92%,14.29%,4,2,1.12%,22.22%,$76.35,$37.98,3,1
B09Z7B5NSZ,B000309IYG,THUNNUS CI4,TU12000CI4,531,1,0.18%,0.02%,652,1,0.16%,0.01%,5.83%,0.00%,2,0,0.38%,0.00%,$639.98,$0.00,2,0
B07DCF1M2Q,B0006781N0,THUNNUS CI4,TU6000CI4,777,8,0.26%,0.14%,873,11,0.21%,0.14%,2.78%,12.50%,2,0,0.26%,0.00%,$599.96,$0.00,2,0
B084LMGV9P,B001AI69KQ,"Carlisle Paddle Gear Magic Plus Kayak Paddle (Sunrise, 230 cm)",01.2509.3665-FBM,447,5,0.15%,0.09%,623,5,0.15%,0.06%,80.34%,50.00%,2,0,0.45%,0.00%,$249.96,$0.00,2,0
B001P9281O,B001P9281O,Tsunami Airwave 9' Surf Rod Med Hvy Action TSAWSS-902MH,TSAWSS-902MH,"1,023",21,0.34%,0.38%,"1,445",24,0.35%,0.31%,47.68%,70.83%,2,0,0.20%,0.00%,$259.90,$0.00,2,0
B002VL1NZW,B002VL1NZW,Shimano TAlICA TAC8 Conventional Fishing Reel,TAC8,"1,043",28,0.35%,0.51%,"1,306",45,0.32%,0.58%,62.02%,84.44%,2,0,0.19%,0.00%,$959.97,$0.00,2,0
B003KUD1NA,B003KUD1NA,"Baker HT Max ""T"" HooKouT",BAK-HT,18,1,0.01%,0.02%,26,1,0.01%,0.01%,19.23%,100.00%,2,0,11.11%,0.00%,$51.96,$0.00,2,0
B08CY6F6Z5,B0047IP1OG,"Shimano Trinidad Conventional Reels, TN14A",TN14A,792,6,0.27%,0.11%,924,7,0.22%,0.09%,6.91%,16.67%,2,0,0.25%,0.00%,"$1,019.96",$0.00,2,0
B004E5AJN0,B004E5AJN0,Tsunami Airwave 10' Surf Rod Xtra Hvy TSAWSS-1002XH New,TSAWSS-1002XH,383,12,0.13%,0.22%,503,14,0.12%,0.18%,47.32%,42.86%,2,0,0.52%,0.00%,$309.90,$0.00,2,0
B005AX9ARQ,B005AX9ARQ,Tsunami Airwave TSAWESS-1002X,TSAWESS-1002XH,7,1,0.00%,0.02%,7,1,0.00%,0.01%,85.71%,100.00%,2,0,28.57%,0.00%,$199.94,$0.00,2,0
B07KSVM3LJ,B00B2VJGOC,"Redington Zero Fly Fishing Reel, Lightweight Design for Trout, Clicker Drag System, Burgundy, 2/3",5-5507R23G,"1,279",16,0.43%,0.29%,"1,705",19,0.41%,0.25%,2.53%,0.00%,2,0,0.16%,0.00%,$219.98,$0.00,2,0
B00FCCVCQC,B00FCCVCQC,Tsunami Airwave Elite Spin Fishing Rod 2 Pc 11' 20-40 Lb TSAWESS-1102H,TSAWESS-1102H,246,2,0.08%,0.04%,381,2,0.09%,0.03%,33.86%,0.00%,2,0,0.81%,0.00%,$459.88,$0.00,2,0
B00G3848EC,B00G3848EC,RAILBLAZA Adjustable Extender,13-4144-11,50,2,0.02%,0.04%,77,5,0.02%,0.06%,63.64%,80.00%,2,0,4.00%,0.00%,$54.00,$0.00,2,0
B084LMGV9P,B00KOLSUR0,"Carlisle Magic Plus Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, Black Cherry, 220cm",01.2509.3900-FBA,202,3,0.07%,0.05%,250,5,0.06%,0.06%,92.25%,100.00%,2,0,0.99%,0.00%,$208.45,$0.00,2,0
B07KSTGLPK,B013VO92ZA,"Redington Behemoth Fly Fishing Reel, Multipurpose Fly Reel for Freshwater and Saltwater, Large Arbor and Adjustable Drag, Black, 9/10",5-5506R910B,617,11,0.21%,0.20%,764,12,0.18%,0.16%,3.62%,0.00%,2,0,0.32%,0.00%,$299.97,$0.00,2,0
B018RCRI4I,B018RCRI4I,"RAILBLAZA Black Kayak Cup Holder for Trackmounts with StarPort Compatible Base, Perfect for Mugs, Tumblers Bottles and More",02-4048-11,363,6,0.12%,0.11%,512,8,0.12%,0.10%,6.05%,0.00%,2,0,0.55%,0.00%,$31.98,$0.00,2,0
B01MRYBIFY,B01MRYBIFY,Maxel HYBRID 25 Conventional Star Drag Reel,HY25-SG,208,1,0.07%,0.02%,281,1,0.07%,0.01%,93.95%,100.00%,2,0,0.96%,0.00%,$730.00,$0.00,2,0
B01N1PDNW8,B01N1PE51Z,Cortland Precision Tropic Plus All Purpose Taper Fly Line (WF9F),474925,13,0,0.00%,0.00%,18,0,0.00%,0.00%,81.82%,0.00%,2,0,15.38%,0.00%,$199.88,$0.00,2,0
B01N1PDNW8,B01N4AZUJY,Cortland Precision Tropic Plus All Purpose Taper Fly Line (WF8F),474918,33,0,0.01%,0.00%,40,0,0.01%,0.00%,45.45%,0.00%,2,0,6.06%,0.00%,$199.89,$0.00,2,0
B07KCTP6ZP,B06X9G5RW4,Shimano Inc. TRANX 301AHG B/C LH Reel Box,TRX301AHG,492,7,0.17%,0.13%,642,10,0.16%,0.13%,14.64%,37.50%,2,0,0.41%,0.00%,$599.96,$0.00,2,0
B071W3H27P,B071W3H27P,Daiwa Seaborg SB800MJ Fishing Reel,SB800MJ,365,19,0.12%,0.34%,498,20,0.12%,0.26%,20.08%,10.00%,2,0,0.55%,0.00%,"$3,199.88",$0.00,2,0
B074MJKXMT,B075QN567J,Cortland Ultra Premium Fluorocarbon Tippet 30 yd 2X - 10.9 lb,645325,70,1,0.02%,0.02%,102,2,0.02%,0.03%,10.29%,0.00%,2,0,2.86%,0.00%,$39.98,$0.00,2,0
B08FXWWJQR,B077PNB8LF,Shimano Inc. TIRALEJO SURF SPN 110 MH 2 PC,TRS110MHA,434,3,0.15%,0.05%,553,3,0.13%,0.04%,23.20%,100.00%,2,0,0.46%,0.00%,$659.97,$0.00,2,0
B07D469Y9T,B07D469Y9T,Hobie Livewell Bait Tank V2,72020077,437,14,0.15%,0.25%,567,18,0.14%,0.23%,67.02%,66.67%,2,1,0.46%,7.14%,$910.00,$455.00,2,1
B08NB4RRFQ,B07F2KMBHP,"Old Town Canoes & Kayaks Solitude Men's Life Jacket (Red, L/XL)",01.1332.9014-FBM,140,2,0.05%,0.04%,183,3,0.04%,0.04%,91.16%,100.00%,3,0,2.14%,0.00%,$266.18,$0.00,2,0
B08N9KSDVW,B07F2LGL9N,"Old Town Solitude Women's Life Jacket (Silver, XS)",01.1332.9019-FBA,62,1,0.02%,0.02%,96,1,0.02%,0.01%,78.75%,100.00%,2,0,3.23%,0.00%,$212.22,$0.00,2,0
B08NB4RRFQ,B07F7771X5,"Old Town Canoes & Kayaks Solitude Men's Life Jacket (Red, XXL/XXXL)",01.1332.9015-FBM,102,3,0.03%,0.05%,142,3,0.03%,0.04%,81.36%,100.00%,2,0,1.96%,0.00%,$181.42,$0.00,2,0
B07KSTGLPK,B07FYHTCFY,"Redington Behemoth Fly Fishing Reel, Multipurpose Fly Reel for Freshwater and Saltwater, Large Arbor and Adjustable Drag, O.D. Green, 7/8",5-5506R78R,900,21,0.30%,0.38%,"1,105",26,0.27%,0.34%,3.20%,30.00%,2,0,0.22%,0.00%,$259.98,$0.00,2,0
B07FZ9XV2J,B07FYSQ38L,Redington Grande 7/8/9 Fly Reel - Marine,5-5509R78903,546,12,0.18%,0.22%,668,15,0.16%,0.19%,10.40%,46.15%,2,0,0.37%,0.00%,$659.93,$0.00,2,0
B07N8J2VJN,B07N8J2VJN,Tsunami Trophy Spinning Surf Rods Series II 11' Heavy,TSTIISS-1102H,500,6,0.17%,0.11%,742,7,0.18%,0.09%,43.80%,42.86%,2,0,0.40%,0.00%,$249.88,$0.00,2,0
B07ND5Q3DW,B07ND5Q3DW,Tsunami TSEVT3000 Evict Spinning Reel 15lb 250yd,TSEVT3000,188,1,0.06%,0.02%,260,1,0.06%,0.01%,48.85%,100.00%,5,0,2.66%,0.00%,$845.00,$0.00,2,0
B07NDJR5KQ,B07NDJR5KQ,Tsunami TSEVT2000 Evict Spinning Reel 15lb 250yd,TSEVT2000-SF,290,8,0.10%,0.14%,399,8,0.10%,0.10%,33.83%,37.50%,3,0,1.03%,0.00%,$477.00,$0.00,2,0
B08FYRZCMD,B07X5MB6R9,Shimano Inc. Terez CST 66 XH,TZC66XH,658,7,0.22%,0.13%,782,9,0.19%,0.12%,6.01%,11.11%,2,0,0.30%,0.00%,$599.96,$0.00,2,0
B085NRRT9S,B07ZJRGPDM,NXT Black Label I Reel,TFR NXT BLK I,68,1,0.02%,0.02%,84,1,0.02%,0.01%,24.62%,0.00%,2,0,2.94%,0.00%,$239.88,$0.00,2,0
B07ZJS5GH6,B07ZJS5GH6,Temple Fork BVK Sealed Drag II Super Large Arbor Reel,TFR BVK SD II,145,4,0.05%,0.07%,189,4,0.05%,0.05%,99.47%,100.00%,2,0,1.38%,0.00%,$479.90,$0.00,2,0
B07ZJSCFM8,B07ZJSCFM8,Temple Fork BVK Sealed Drag III+ Super Large Arbor Reel,TFR BVK SD III+,80,1,0.03%,0.02%,104,1,0.03%,0.01%,45.19%,100.00%,2,0,2.50%,0.00%,$519.90,$0.00,2,0
B084HNZLHX,B084HNZLHX,"Tsunami Carbon Shield II TSCSHDBCII701MH-B 7' 0"" Rod",TSCSHDBCII701MH-B,219,7,0.07%,0.13%,367,9,0.09%,0.12%,80.38%,88.89%,2,0,0.91%,0.00%,$299.97,$0.00,2,0
B084LMSJXZ,B084KL92QN,"Carlisle Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 220cm - Ahi",01.2509.4035-FBA,129,2,0.04%,0.04%,172,2,0.04%,0.03%,84.87%,100.00%,2,0,1.55%,0.00%,$156.79,$0.00,2,0
B084LMSJXZ,B084KS3BPQ,"Carlisle Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft, 230cm - Seaglass",01.2509.4094,117,0,0.04%,0.00%,177,0,0.04%,0.00%,21.38%,0.00%,2,0,1.71%,0.00%,$199.98,$0.00,2,0
B084LM6MRV,B084KV6QBF,"Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 230cm - Photic",01.2509.4078-FBA,376,1,0.13%,0.02%,464,1,0.11%,0.01%,40.12%,0.00%,2,0,0.53%,0.00%,$289.96,$0.00,2,0
B084RNM86N,B084RNM86N,Shimano Inc. OCEA Jigger 1500HG,OCEAJG1500HG,"1,287",15,0.43%,0.27%,"1,591",17,0.38%,0.22%,2.70%,5.88%,2,0,0.16%,0.00%,"$1,079.96",$0.00,2,0
B0BLFFN4L1,B085J2CP53,Old Town Sportsman AutoPilot 136 Motorized Fishing Kayak with Minn Kota Trolling Motor (Ember Camo),01.4066.0103,"4,621",94,1.55%,1.70%,"6,010",107,1.45%,1.38%,92.78%,84.00%,2,0,0.04%,0.00%,"$9,999.98",$0.00,2,0
B0869XTNS2,B085JJZQ31,Old Town Sportsman PDL 106 Pedal Fishing Kayak (Ember Camo),01.4072.0103,"4,154",53,1.39%,0.96%,"5,376",76,1.30%,0.98%,33.37%,51.72%,2,0,0.05%,0.00%,"$5,199.98",$0.00,2,0
B08B2TNS7S,B08B43DT46,"Rio Premier Gold Fly Line, Easy to Cast Flies from Size 2 to 22, Ultimate All-Around Fly Line with Ultra-Slick Performance, Lumalux, 90ft, WF6F",6-19241,247,8,0.08%,0.14%,304,10,0.07%,0.13%,6.78%,20.00%,2,0,0.81%,0.00%,$199.96,$0.00,2,0
B08B2TNS7S,B08B43Z23K,"Rio Premier Gold Fly Line, Easy to Cast Flies from Size 2 to 22, Ultimate All-Around Fly Line with Ultra-Slick Performance, Melon/Gray Dun, 90ft, WF4F",6-19237,462,7,0.16%,0.13%,559,9,0.14%,0.12%,8.39%,25.00%,2,0,0.43%,0.00%,$199.98,$0.00,2,0
B08B2Q6NBC,B08B448B2D,"Rio Elite Gold Fly Line, Easy to Cast Flies from Size 2 to 22, Ultimate All-Around Fly Line with Ultra-Slick Performance, Moss/Gold/Gray, 90ft, WF5F",6-19269,639,6,0.21%,0.11%,805,13,0.19%,0.17%,0.45%,0.00%,2,0,0.31%,0.00%,$259.97,$0.00,2,0
B08B2Q6NBC,B08B44C6JS,"Rio Elite Gold Fly Line, Easy to Cast Flies from Size 2 to 22, Ultimate All-Around Fly Line with Ultra-Slick Performance, Moss/Gold/Gray, 100ft, WF8F",6-19272,120,5,0.04%,0.09%,146,7,0.04%,0.09%,9.43%,0.00%,2,0,1.67%,0.00%,$249.89,$0.00,2,0
B08B2TNS7S,B08B44K7Z1,"Rio Premier Gold Fly Line, Easy to Cast Flies from Size 2 to 22, Ultimate All-Around Fly Line with Ultra-Slick Performance, Orange, 90ft, WF5F",6-19243,372,6,0.12%,0.11%,446,6,0.11%,0.08%,3.57%,0.00%,2,0,0.54%,0.00%,$199.96,$0.00,2,0
B08B2TNS7S,B08B44MYZZ,"Rio Premier Gold Fly Line, Easy to Cast Flies from Size 2 to 22, Ultimate All-Around Fly Line with Ultra-Slick Performance, Lumalux, 90ft, WF5F",6-19240,801,19,0.27%,0.34%,"1,057",32,0.26%,0.41%,6.75%,68.75%,2,0,0.25%,0.00%,$199.97,$0.00,2,0
B08B2TNS7S,B08B463VRX,"Rio Premier Gold Fly Line, Easy to Cast Flies from Size 2 to 22, Ultimate All-Around Fly Line with Ultra-Slick Performance, Moss/Gold, 90ft, WF6F",6-19233,260,5,0.09%,0.09%,320,5,0.08%,0.06%,7.17%,0.00%,2,0,0.77%,0.00%,$170.41,$0.00,2,0
B08B54G5SM,B08B54RSJ7,"Redington Run Fly Reel, Lightweight Design for Trout, Freshwater Fishing, Carbon Fiber Drag System, Black, 5/6 Weight",5-5512R5601,649,2,0.22%,0.04%,852,2,0.21%,0.03%,7.94%,0.00%,2,0,0.31%,0.00%,$239.98,$0.00,2,0
B08D6XXS4D,B08D6XXS4D,"Daiwa TANACOM DENDOH Style RODS, Sections= 2, Line Wt.= 80-200, Long",TNB56XHF-DDL,183,7,0.06%,0.13%,268,8,0.06%,0.10%,29.85%,25.00%,2,0,1.09%,0.00%,$598.99,$0.00,2,0
B08B54G5SM,B08D7XSP2V,Redington Run Fly Reel 3-4 Weight Black,5-5512R3401,76,4,0.03%,0.07%,112,9,0.03%,0.12%,20.37%,0.00%,2,0,2.63%,0.00%,$216.29,$0.00,2,0
B08DJ88Y4D,B08DJ8DW96,Shimano Inc. SARAGOSA SW A 20000PG,SRG20000SWAPG,"1,714",23,0.58%,0.42%,"1,965",26,0.47%,0.34%,6.79%,21.74%,2,0,0.12%,0.00%,$818.00,$0.00,2,0
B08B54G5SM,B08HSRM53J,"Redington Run Fly Reel, Lightweight Design for Trout, Freshwater Fishing, Carbon Fiber Drag System, Sand, 3/4 Weight",5-5512R3402,722,14,0.24%,0.25%,934,16,0.23%,0.21%,9.16%,7.14%,2,0,0.28%,0.00%,$239.98,$0.00,2,0
B08KYKLYHF,B08KYKLYHF,"RAILBLAZA Transducer Swimg Arm R-Lock Mount for Fish Finder Screens and Marine Electronics, Compatible with Garmin, Lowrance, Humminbird and More",02-4147-11,117,2,0.04%,0.04%,163,2,0.04%,0.03%,23.93%,0.00%,3,0,2.56%,0.00%,$74.97,$0.00,2,0
B0CDHMJ5NL,B08XVVB2TL,Shimano Inc. TREVALA 58 XH CST B,TVC58XHB,971,25,0.33%,0.45%,"1,216",29,0.29%,0.38%,28.42%,34.48%,2,0,0.21%,0.00%,$379.97,$0.00,2,0
B0CDHMJ5NL,B08XW4WPRT,Shimano Inc. TREVALA 66 MH CST B,TVC66MHB,489,5,0.16%,0.09%,684,6,0.17%,0.08%,18.97%,80.00%,2,0,0.41%,0.00%,$379.96,$0.00,2,0
B09BK3M9XK,B08XW5B5K5,Shimano Inc. EXSENCE C3000MHG A,EXSC3000MHGA,426,2,0.14%,0.04%,499,2,0.12%,0.03%,17.23%,50.00%,2,0,0.47%,0.00%,"$1,198.98",$0.00,2,0
B08Y77VSC6,B08Y77VSC6,New Van Staal VR125 Black Bailed Series Spinning Reel,VR125B,151,4,0.05%,0.07%,191,5,0.05%,0.06%,6.28%,0.00%,2,0,1.32%,0.00%,"$1,059.88",$0.00,2,0
B08Y796213,B08Y796213,New Van Staal VR150 Black Bailed Series Spinning Reel,VR150B,581,12,0.20%,0.22%,763,16,0.18%,0.21%,39.84%,50.00%,2,0,0.34%,0.00%,"$1,108.94",$0.00,2,0
B0BFBTT33Z,B092H3Y2JP,"Lamson Cobalt Fast Action Saltwater Fly Fishing Rod, fighitnig Butt, 9 Foot 4-Piece, with Tube 9 WT.",C9WTROD,62,2,0.02%,0.04%,85,4,0.02%,0.05%,92.65%,100.00%,2,0,3.23%,0.00%,$939.97,$0.00,2,0
B09NGPP1V3,B09BK1J29T,SHIMANO SPHEROS SW A 14000XG SPHEROS,SPSW14000XGA,"2,602",39,0.87%,0.71%,"3,551",61,0.86%,0.79%,8.92%,10.17%,2,0,0.08%,0.00%,$368.94,$0.00,2,0
B0CJFZ18N1,B09H3J7951,DIAWA Lexa 400 TWS BAITCASTING Reel - Hyper Speed Power Handle,LX-TW400H-P,226,6,0.08%,0.11%,314,8,0.08%,0.10%,23.88%,14.29%,2,0,0.88%,0.00%,$779.98,$0.00,2,0
B0CL55WS7Z,B09H3MH354,DIAWA SALTIST MQ Spinning Series - Saltwater Reel,SALTISTMQ14000H,306,7,0.10%,0.13%,407,8,0.10%,0.10%,46.69%,40.00%,2,0,0.65%,0.00%,$719.98,$0.00,2,0
B09M9CCB7V,B09M9CCB7V,Van Staal VR75B Bailed Series Spinning Reel Black,VR75B,852,7,0.29%,0.13%,"1,088",7,0.26%,0.09%,18.01%,28.57%,2,0,0.23%,0.00%,"$1,039.88",$0.00,2,0
B09MR8WY6F,B09MR8WY6F,New from Van STAAL-VR51 (Left Handed) BAILED Spinning Reel Silver,VR51,289,13,0.10%,0.24%,397,21,0.10%,0.27%,55.16%,66.67%,2,0,0.69%,0.00%,"$1,038.00",$0.00,2,0
B09MR9CHF3,B09MR9CHF3,New from Van Staal-VR51B (Left Handed) Bailed Spinning Reel Black,VR51B,361,14,0.12%,0.25%,487,18,0.12%,0.23%,18.28%,38.89%,2,1,0.55%,7.14%,"$1,039.88",$519.94,2,1
B09X1XZTLP,B09X28BRFC,Cortland Striped Bass Sink 8 Fly Line WF10S/I,476103,15,0,0.01%,0.00%,19,0,0.00%,0.00%,68.75%,0.00%,2,0,13.33%,0.00%,$199.89,$0.00,2,0
B09X21MJJR,B09X29DCS4,Cortland Striped Bass Floating Fly Line WF10F,476257,11,0,0.00%,0.00%,15,0,0.00%,0.00%,83.33%,0.00%,2,0,18.18%,0.00%,$219.90,$0.00,2,0
B09X21MJJR,B09X29FMXS,Cortland Striped Bass Floating Fly Line WF8F,476233,12,0,0.00%,0.00%,13,0,0.00%,0.00%,81.82%,0.00%,2,0,16.67%,0.00%,$199.89,$0.00,2,0
B09X1Y62JF,B09X2CJZJQ,Cortland Striped Bass Blitz Fly Line WF8I/F,476295,16,0,0.01%,0.00%,24,0,0.01%,0.00%,85.71%,0.00%,2,0,12.50%,0.00%,$199.90,$0.00,2,0
B07KSVM3LJ,B09XFBQNSM,"Redington Zero Fly Fishing Reel, Lightweight Design for Trout, Clicker Drag System, Matte Black, 2/3",5-5507R23NB,"1,090",17,0.37%,0.31%,"1,345",23,0.33%,0.30%,7.64%,28.57%,2,0,0.18%,0.00%,$218.00,$0.00,2,0
B09XVN64BQ,B09XJ7ZGJD,"RIO Products Avid Trout Series - Grand, Floating Fly Line for Trout, Pale Green, WF5F",6-19699,769,9,0.26%,0.16%,991,13,0.24%,0.17%,8.17%,0.00%,2,0,0.26%,0.00%,$129.89,$0.00,2,0
B09XVN64BQ,B09XJ9BH14,"RIO Products Avid Trout Series - Grand, Floating Fly Line for Trout, Pale Green, WF6F",6-19700,256,7,0.09%,0.13%,312,8,0.08%,0.10%,7.87%,0.00%,2,0,0.78%,0.00%,$129.89,$0.00,2,0
B0B2K9Y7WH,B0B2K9Y7WH,RIO Gold Premier Fly Line WF2F Moss/Gold,6-19294,53,0,0.02%,0.00%,60,0,0.01%,0.00%,80.00%,0.00%,2,0,3.77%,0.00%,$199.93,$0.00,2,0
B0B8MFFG2C,B0B8MFFG2C,Daiwa Tanacom 1200 Power Assist Reel | Kite and Deep Drop Fishing,TANACOM1200,"1,753",55,0.59%,0.99%,"2,594",80,0.63%,1.03%,1.00%,1.25%,3,0,0.17%,0.00%,"$2,397.89",$0.00,2,0
B0BLZNWGNT,B0BLZNWGNT,"Cortland Striped Bass Intermediate Fly Line (Ice Blue, WF8I)",476264,19,2,0.01%,0.04%,24,3,0.01%,0.04%,83.33%,100.00%,3,2,15.79%,100.00%,$299.83,$199.88,2,1
B0BNJWSPFV,B0BNJWSPFV,Shimano Inc. TREVALA 58 XXH SPN B,TVS58XXHB,159,1,0.05%,0.02%,243,2,0.06%,0.03%,5.35%,0.00%,2,0,1.26%,0.00%,$379.96,$0.00,2,0
B0CV442LW7,B0BP2VN23C,Simms Freestone Wading Boots for Men - Rugged Rubber Sole Fishing Shoes with Traction Control and Time-Tested Durability - Gunmetal - 10,13403-042-10,946,25,0.32%,0.45%,"1,286",40,0.31%,0.52%,0.00%,0.00%,2,0,0.21%,0.00%,$359.90,$0.00,2,0
B0CL566X1F,B0BTFQNPG8,"Daiwa TATULA MQ Spin Reel, 8 (8BB)+1, 6.2 : 1",TTUMQLT2500D-XH,387,4,0.13%,0.07%,512,5,0.12%,0.06%,54.29%,100.00%,2,0,0.52%,0.00%,$399.98,$0.00,2,0
B0BYFRTQZL,B0BYFRTQZL,"Tsunami Pro Flutter Spoon 11"" - Heavy (7.75oz) Chrome",TSP-FS11SSH775-C,29,0,0.01%,0.00%,37,0,0.01%,0.00%,37.84%,0.00%,2,0,6.90%,0.00%,$53.98,$0.00,2,0
B0BYG31NDJ,B0BYG31NDJ,"Tsunami Pro Flutter Spoon 11"" - Heavy (7.75oz) Chartreuse",TSP-FS11SSH775-CHT,26,1,0.01%,0.02%,31,2,0.01%,0.03%,35.48%,100.00%,2,0,7.69%,0.00%,$53.98,$0.00,2,0
B0CKY2PBV2,B0CD39N84V,"Nomad Design Squidtrex Fishing Lure with Patent Pending Technology Vibration Design - TPE Soft Plastic, BKK Assist Hooks, Squid Lure- 130 Vibe 5"" - 3 1/4oz, Brown Speckel",SQDTREX130-BSPKL,315,6,0.11%,0.11%,400,7,0.10%,0.09%,3.13%,0.00%,2,0,0.63%,0.00%,$37.95,$0.00,2,0
B0CKY2PBV2,B0CDJZ3BV7,"Nomad Design Squidtrex Fishing Lure with Patent Pending Technology Vibration Design - TPE Soft Plastic, BKK Assist Hooks, Squid Lure- 130 Vibe 5"" - 3 1/4oz, Orange Tiger",SQDTREX130-OTGR,205,7,0.07%,0.13%,269,9,0.07%,0.12%,6.73%,0.00%,2,0,0.98%,0.00%,$37.98,$0.00,2,0
B0869XTNS2,B0CLV12DWT,Old Town Sportsman PDL 106 Pedal Fishing Kayak (Marsh Camo),01.4072.0107,939,17,0.32%,0.31%,"1,176",22,0.28%,0.28%,98.48%,90.00%,2,1,0.21%,5.88%,"$5,199.98","$2,599.99",2,1
B0CM9QWPCP,B0CM9QWPCP,"VISSER 6.5 inch Titanium Fishing Pliers with Secure Hold Sheath & Lanyard, Durable replaceable cutters with split ring feature, Made in the USA",VIS 6.5 Ti,80,1,0.03%,0.02%,89,1,0.02%,0.01%,56.18%,0.00%,2,0,2.50%,0.00%,$657.98,$0.00,2,0
B0CVS9W3WF,B0CVSCJHYZ,Tsunami TSSTXIISS872M SaltX II Surf Spinning Rod,TSSTXIISS872M,110,1,0.04%,0.02%,134,1,0.03%,0.01%,30.40%,0.00%,2,0,1.82%,0.00%,$699.98,$0.00,2,0
B0CMDR9QV2,B00030A1N8,"Cortland Line 4WF Fishing Line, Peach",403048,132,1,0.04%,0.02%,158,4,0.04%,0.05%,7.81%,0.00%,1,0,0.76%,0.00%,$64.95,$0.00,1,0
B0CBL8GSSW,B00063RH0C,"Cortland Line 3WF Fishing Line, Peach",403031,108,0,0.04%,0.00%,130,0,0.03%,0.00%,2.70%,0.00%,1,0,0.93%,0.00%,$64.99,$0.00,1,0
B00080XE5K,B00080XE5K,TIAGRA 50 A Long Range 2 SPD,TI50WLRSA,306,8,0.10%,0.14%,371,11,0.09%,0.14%,12.16%,45.45%,1,1,0.33%,12.50%,$769.99,$769.99,1,1
B0CW262PS8,B001443K6M,"Shimano Tiagra 130 A 2 Speed Offshore Multiplier Seafishing Reel, TI130A",TI130A,"1,355",22,0.45%,0.40%,"1,641",26,0.40%,0.34%,17.61%,19.23%,1,0,0.07%,0.00%,"$1,449.00",$0.00,1,0
B001449DRM,B001449DRM,"Van Staal 7"" Titanium Pliers Kit with Lanyard and Sheath",FP7000-KIT,"1,624",37,0.55%,0.67%,"2,054",42,0.50%,0.54%,30.53%,50.00%,1,0,0.06%,0.00%,$379.00,$0.00,1,0
B001AI4HKA,B001AI4HJQ,"Carlisle Paddle Gear Magic Mystic Kayak Paddle with Polypropylene Blades and Aluminum Shaft (Sunrise, 230 cm)",01.2509.4090-FBM,47,0,0.02%,0.00%,65,0,0.02%,0.00%,100.00%,0.00%,1,0,2.13%,0.00%,$114.99,$0.00,1,0
B084LMGV9P,B001AI69KG,"Carlisle Magic Plus Kayak Paddle (Sunrise, 220 cm)",01.2509.3660-FBA,9,0,0.00%,0.00%,9,0,0.00%,0.00%,100.00%,0.00%,2,0,22.22%,0.00%,$249.98,$0.00,1,0
B002WDAOCM,B002WDAOCM,Shimano Inc. TERAMAR NE 70 MH SPN B,TMSE70MHB,116,0,0.04%,0.00%,186,0,0.04%,0.00%,15.59%,0.00%,1,0,0.86%,0.00%,$229.99,$0.00,1,0
