(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B082MSK9CQ,B082MS71RF,Tsunami SaltX Spinning Reels,TSSTX4000,"3,409",50,1.14%,0.90%,"5,071",80,1.23%,1.03%,31.29%,54.90%,20,0,0.59%,0.00%,"$5,698.86",$0.00,19,0
B08VF1HFTF,B01NCP55AI,Tsunami Shield 6000 Saltwater Sealed Surf Spinning Reel 40lb 350yd New,TSSHD6000,539,6,0.18%,0.11%,699,9,0.17%,0.12%,41.81%,100.00%,20,0,3.71%,0.00%,"$2,089.81",$0.00,18,0
B07VX8VPRM,B07VX8B2BH,Shimano Inc. SPEEDMASTER II 16,SPM16II,"2,487",39,0.83%,0.71%,"3,406",63,0.82%,0.82%,24.53%,40.68%,20,0,0.80%,0.00%,"$5,799.61",$0.00,18,0
B084L4X7BK,B07X36WJZW,"Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 200mm/8 Sinking - Hot Pink Mackerel",MADMACS200-HPM,338,15,0.11%,0.27%,451,17,0.11%,0.22%,47.29%,66.67%,18,0,5.33%,0.00%,$809.10,$0.00,17,0
B07QQMT1DS,B07QQMT1DS,Boonedox Groovy Landing Gear Standard Kit Kayak Wheel Cart,BDX-GLGSTD,997,8,0.33%,0.14%,"1,326",10,0.32%,0.13%,88.76%,100.00%,16,0,1.60%,0.00%,"$5,438.50",$0.00,16,0
B084L4X7BK,B07X5DF5Y2,"Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 240mm/10 Sinking - Black Pink Mackerel",MADMACS240-BPM-FBA,399,11,0.13%,0.20%,462,11,0.11%,0.14%,78.47%,75.00%,15,1,3.76%,9.09%,$899.10,$59.94,15,1
B084LM6MRV,B084KHDRL6,"Carlisle Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 250cm - Camo",01.2509.4072,547,5,0.18%,0.09%,718,5,0.17%,0.06%,30.07%,50.00%,15,0,2.74%,0.00%,"$1,949.79",$0.00,15,0
B073SC7JY4,B073SCVH6J,YakGear 01-9004-Y The Fish Stik - Yellow,01-9004-Y,"1,056",23,0.35%,0.42%,"1,459",33,0.35%,0.43%,22.35%,0.00%,14,0,1.33%,0.00%,$489.86,$0.00,14,0
B07VX8VPRM,B07VX9JRF7,Shimano Inc. SPEEDMASTER II 12,SPM12II,"2,764",69,0.93%,1.25%,"3,883",110,0.94%,1.42%,30.13%,38.68%,20,0,0.72%,0.00%,"$5,599.70",$0.00,14,0
B084LM6MRV,B084KRDC5P,"Carlisle Paddles Magic Angler Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 250cm - Photic",01.2509.4080-FBA,416,3,0.14%,0.05%,542,3,0.13%,0.04%,48.89%,0.00%,16,0,3.85%,0.00%,"$1,966.58",$0.00,14,0
